Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Appam/ Idiyappam podi,Brahmins Idiyappam, 100 gram,430,56,15,17
Kuzhi Appam (13 Gms),Homemade, 1 piece,31,6,0,2
Appam Batter,South Indian, 1 kg,279,53,5,4
Appam With Coconut Milk,Saravana Bhavan, 1 Piece,248,35,9,6
Puliogare,Generic, 2 cups,212,42,3,4
Puliogare (Correct),Mtr, 1 tbsp,45,6,2,1
Puliogare Powder,Mtr, 1 tbsp (14.29g),97,6,3,1
Puliogare Paste,Mtr, 17 g,85,5,7,0
Puliogare (Spiced) Paste,Mtr, 1 tbsp,70,6,5,1
Puliogare Paste Masala Paste,Mtr, 0.083 pack,96,5,8,1
Puliogare Rice,GRB, 1 tbs,60,6,3,2
the Most Accurate One!,Generic Puliogare, 1 cup,100,1,1,50
Masala puliogare powder (spiced powder for rice),MTR, 1 tpsp,50,6,2,1
Rasam,Rasam, 1 Tsp,10,1,1,1
"Rasam - Tomato, Garlic Lemon",Rasam, 1 cup,45,5,3,2
Rasam,Homemade, 1 Cup,70,13,1,2
Rasam,Vish, 1 Serving - 100 ml,25,5,1,1
Rasam,1 Minute Rasam, 100 gram,263,40,7,10
Rasam,Rass, 100 grams,12,2,0,0
Rasam,Nourish, 1.5 cups,200,30,6,11
Rasam,Mom's Food, 1 cup,100,0,4,3
Rasam Rice,Mtr, 100 gms,57,11,1,1
Rasam,Maiyas, 1 cup,296,48,7,11
Tomato Rasam,Homemade, 1 cup,86,13,1,5
Tomato Rasam,Home, 1 Cup,86,13,1,5
"Rasam - Dal Water, Ghee Tadka, Coriander",Homemade-Rasam, 1 cup cooked,60,0,0,0
Rasam Power,Mtr Rasam Powder, 1 tablespoon,44,5,2,2
Rasam,Xpress, 100 gram,296,48,7,11
Tomato Rasam,Gv, 1 cup,45,15,2,5
Rasam powder,Sakthi Rasam Powder, 5 tablespoon,95,13,3,4
Rasam Soup,Saf, 1 bowl,49,1,2,7
Rasam,Gits, 1 tbsp uncooked,40,5,2,2
Lemon Rasam Soup,Waitrose, 0.5 pot,146,16,4,11
Medium Pizza,Dominoes, 4 slices,960,92,48,40
Supreme Pizza,Dominoes, 67 g,149,18,5,7
Sausage Pizza,Dominoes, 1 Slice,320,36,14,12
Cheese Pizza,Dominoes, 1 slice,290,19,14,10
Hawaienne,Dominoes Pizza, 100 g,198,23,7,10
Deluxe Pizza,Dominoes, 1 Piece,143,21,7,7
Hawaiin Pizza,Dominoes, 70 grams,140,22,3,7
Vegetable Pizza,Dominoes, 1 slice,188,0,0,0
Spiniach Pizza,Dominoes, 1 slice,194,26,7,7
Feast Pizza,Dominoes, 1 slice,350,30,15,10
pepperoni pizza ,dominoes, 1 pizza,1239,0,0,0
3-ingredient Pizza,Dominoes, 135 grams (1 slice L),270,34,10,10
Pizza Sauce Large,Dominoes, 1 slice (slice = 21g),15,2,0,0
Italian Sandwich,Dominoes Pizza, 1 sandwich,820,70,41,41
Garlic Bread Pizza,Dominoes, 2 slices,274,31,10,17
Pizza/ Pepperoni & Pineapple,Dominoes, 0.125 slice,215,26,9,8
Pepperoni Medium Pizza,Dominoes, 1 slice,220,28,14,12
Chicken Onion Pizza,Dominoes, 1 slice,195,25,7,9
Meatzza Pizza Large,Dominoes, 1 slice (12Grams),370,37,17,17
Margheurita Pizza Slice,Dominoes, 350 g,133,0,0,0
Pizza,Pizza Hut, 1 slice,300,35,12,13
Pizza Hut - Tartiflette,Pizza Hut, 300 g,723,96,23,34
Pizza Hut Large Pepperoni Pizza,Pizza Hut, 1 slice,270,28,12,11
Pizza Cookie,Pizza Hut, 1 piece,180,24,9,2
Taco Pizza,Pizza Hut, 1 slice,300,36,12,12
Personal Pizza,Pizza Hut, 4 slices,620,68,28,25
Supreme Pizza,Pizza Hut, 1 slice,290,27,14,12
Hawaiian Pizza Hut,Pizza, 1 slice,175,24,5,9
Pizza Slider,Pizza Hut, 1 piece,260,30,11,9
Pizza Rolls,Pizza Hut, 1 roll,220,24,10,10
Pizza,Pizza Hut, 100 g,275,29,11,13
Sausage Pizza (,Pizza Hut, 1 slice,350,39,15,15
Hawaian Pizza,Pizza Hut, 1 slice (medium 97g),230,28,9,10
Peperoni Pizza,Pizza Hut, 2 slice,260,20,13,11
Tuna Pizza,Pizza Hut, 1 pizza,939,108,28,48
Pizza Capriciosa,Pizza Hut, 520 g,1009,95,42,63
Pizza Hawaii,Pizza Hut, 1 slice,230,28,9,10
Pizza Vegetariana,Pizza Hut, 100 g,180,27,6,10
Vegetable Pizza,Pizza Hut, 1 large,180,23,6,26
Barbeque Pizza,Pizza Hut, 1 slice,380,36,17,0
Kurmura Ladoo (Puffed Rice Ball),Indian, 1 ball,85,20,0,2
Rice ball,Rice ball, 1 ball,192,0,0,0
rice ball,sushi rice ball, 1 pack,173,34,2,6
Rice ball,Tuna rice ball, 1 ball,162,33,2,4
Rice  ball,Salmon rice ball, 1 piece,235,42,5,7
Rice ball,Teriyaki rice ball, 1 cup,266,42,9,6
"Ladoo, Round Ball, Indian Dessert",Poonam," 1 Ball (1-3/4"")",246,44,6,4
Indian Parboiled Rice,Indian Parboiled Rice, 1 cup,194,41,1,5
Indian,Indian Rice Chicken, 501 g,665,86,17,39
Fried rice ball,Rice ball, 1 ball,241,43,6,5
Jeera Rice,Indian, 158 g,150,39,35,4
Tomato Rice,Indian, 100 g,150,18,7,2
Ghee Rice,Indian, 0.5 cup cooked,168,27,5,4
Indian,Rice Pudding, 6 oz.,200,67,11,10
Rice Ball,Qq Rice- Chicken Mushroom Brownrice Ball, 200 g,170,40,6,10
Rice Ball,Ghanaian, 1 (164g),257,54,2,6
Saffron Rice,Indian, 0.5 cup,154,26,4,3
Rice ball,Sesame rice ball, 1 pcs,53,10,1,1
Rice ball,Fm rice ball, 1 ball,199,39,2,5
Rice ball,Rice ball one, 1 ball,249,39,8,8
Burger,Mcdonalds, 1 burger,193,22,4,1
Maestro Burger,Mcdonalds, 1 burger,757,44,43,49
Doublecheese Burger,Mcdonalds, 1 burger,448,31,24,27
Burger Patty,Mcdonalds, 1 Patty,90,0,6,7
Chicken Burger,Mcdonalds, 1 Burger,347,37,17,11
Cheese Burger,Mcdonalds, 1 portion,300,32,13,15
Jolly Burger,Mcdonalds, 1 burger,540,42,28,29
Burger Mcdo,Mcdonalds, 1 burger bun with patty,250,0,0,0
Mctasty Burger,Mcdonalds, 1 Burger,835,49,51,46
1955 Burger,Mcdonalds, 1 Burger,658,49,33,40
Mcdonalds,Kylling Burger, 1 Pors,425,47,17,21
Brazil Burger,Mcdonalds, 1 Burger,599,52,30,28
Arizona Burger,Mcdonalds, 1 burger,730,43,43,40
Jalapino Burger,Mcdonalds, 1 burger,430,35,23,22
Homestyle Burger (on Website Mcdonalds),Mcdonalds, 1 burger,430,34,19,24
Veggie Burger,Mcdonalds, 1 burger,460,57,9,12
Belgo Burger,Mcdonalds, 1 portion,634,45,34,37
Legend's Burger,Mcdonalds, 1 burger,598,53,28,32
Mcdonalds,Burger, 1 Pors,495,40,25,27
Burger - Whopper,Burger King, 277 g,630,57,35,25
Vegi Burger,Burger King, 1 sandwich,390,41,17,21
Country Burger,Burger King, 1 Stück,536,65,26,13
Veggi Burger,Burger King, 1 Burger,410,48,16,21
Tavuk Burger,Burger King, 1 burger,448,35,26,16
Burger Patty,Burger King, 1 patty,110,0,8,9
Rodeio Burger,Burger King, 1 sanduiche,400,40,19,18
Big King Double Burger,Burger King, 1 Burger,900,50,54,56
Turkey Burger,Burger King Turkey Burger, 1 Sandwich,530,46,26,27
Burger King Chicken Wings,Burger King, 1 Packung,63,1,4,6
Steakhouse Burger,Burger King, 300 g,896,66,49,38
Breakfast Burger,Burger King, 299 g,786,42,48,42
Veggie Burger,Burger King Veggie Burger, 1 burger,270,9,5,10
Fish Burger,Burger King, 1 Burger,530,54,28,16
Chicken Burger Burger King,Burger King, 1 Burger,391,41,20,11
Burger King Memphis Bbq ,Burger King, 1 sandwich,580,0,20,0
Burger King Fry Burger,Burger King, 1 Burger,425,0,0,0
Chipolte Burger,Burger King, 1 hamburger,770,56,0,36
Burger Minis,Burger King, 4 burgers,420,36,20,26
Chipotle Burger,Burger King, 1 burger,770,56,47,36
Original Glazed,Krispe Kreme, 1 donut,190,22,11,3
Caramel Crunch Donut,Krispe Kreme, 1 Donut,380,49,19,4
Chocolate Cream Filled Donut,Krispe Kreme, 1 each,340,0,0,0
Chocolate Iced Glazed Donut,Krispe Kreme, 1 donut (63g),240,32,12,3
Ultimate Salted Caramel,Krispe Kreme, 1 doughnut,430,53,22,5
Ultimate Chockolate Brownie,Krispe Kreme, 1 doughnut,411,46,22,6
Doughnuts,Krispy Kreme, 6 doughnuts,370,50,17,3
Doughnuts,Krispy Kreme Glazed Doughnuts, 1 DOUGHNUT,210,22,13,3
Glazed Doughnuts,Krispy Kreme, 1 Doughnut (49g),190,22,11,3
Boston Kreme Doughnut,Dunkin Doughnuts, 1 doughnut,310,39,16,3
K cup,Krispy Kreme Doughnuts, 8 oz,0,0,0,0
Chocolate Iced W/ Kreme Filling,Krispy Kreme Doughnuts, 1 doughnut (89 g),340,42,17,4
orange kreme marble cake doughnuts,krispy kreme, 1 doughnut,360,42,22,2
"Doughnuts, Original Glazed",Krispy Kreme, 49 grams,190,22,11,3
Classic Coffee,Krispy Kreme Doughnuts, 1 k-cup,2,0,0,0
Barvarian Kreme Donught,Dunkin Doughnuts, 1 doughnut,210,30,9,3
Dipped Cake Doughnuts,Krispy Kreme, 1 doughnut,340,35,21,4
Original Glazed,Krispy Kreme Doughnuts, 1 doughnut (49 g),190,21,11,2
Powered Sugar Doughnuts,Krispy Kreme, 4 pieces,250,31,12,2
Original Glazed Doughnuts,Krispy Kreme Doughnuts, 1 Doughnut (49g),190,22,11,3
Doughnuts,Doughnuts, 100 g,450,51,25,5
Baked Cake Doughnuts,Doughnuts, 1 doughnut,173,27,5,3
Doughnuts,Salted caramel doughnuts, 1 doughnut,317,43,14,4
super doughnuts,super doughnuts, 1 pack,280,43,9,0
Glazed Doughnuts,Golden Doughnuts, 1 doughnut,154,18,9,3
Doughnuts,Mrs Dunster's Doughnuts, 1 donut (64g),300,35,16,3
Oreo Doughnuts,Oreo Doughnuts, 1 doughnut,326,34,19,4
Doughnuts,Loven, 1 Doughnut,150,22,8,2
Doughnuts,Mini Doughnuts, 1 donut,415,51,21,5
Frosted Vanilla Cake Doughnuts,Duck Doughnuts, 1 doughnut,310,26,12,3
Doughnuts,Simply Doughnuts, 1 donut,266,42,8,5
doughnuts,hostess, 1.5 cup,420,0,18,0
Mad Sauce,Mad Sauce, 15 ml,38,2,3,0
Hashbrowns,Dunkin Doughnuts, 1 package,200,22,11,2
Powdered Sugar Mini Doughnuts,Hostess Mini Doughnuts, 4 dounts,220,29,12,2
Sugar Doughnuts,Duchess, 6 doughnuts,370,48,18,4
Mad Cuban,Mad Greens, 1 Sandwich,648,61,19,58
Powdered Doughnuts,Powdered Mini Doughnuts 7 Eleven, 4 doughnuts,240,34,12,2
Mini Doughnuts,Snack, 4 doughnuts,210,28,10,2
Doughnuts,7 11 Select Chocolate Covered Doughnuts, 1 whole doughnut,250,29,15,2
Chicken Nuggets,Mcdonalds, 6 nuggets,250,15,15,14
Chicken Nuggets,Mcdonalds (Canada), 4 nuggets,170,10,9,9
Chicken Nuggets (1),Mcdonalds, 6 nuggets,260,15,16,15
Chicken Nuggets 19,Mcdonalds, 1 container,230,29,11,3
Chicken Nuggets 4er,Mcdonalds, 1 order,170,11,9,11
6 Chicken Nuggets,Mcdonalds, 1 container,280,18,18,13
4 Chicken Nuggets,Mcdonalds, 4 nuggets,220,16,13,10
Chicken Nuggets (4),Mcdonalds, 4 nuggets,190,11,12,10
"Mcdonalds Chicken Nuggets, 4pc (Website Verified)",Mcdonalds, 1 container (4 nuggets),193,10,13,10
6 Pc Chicken Nuggets,Mcdonalds, 6 nuggets,270,16,16,15
Chicken Nuggets 10 Piece,Mcdonalds, 10 pieces,420,25,25,23
10 Piece Chicken Nuggets,Mcdonalds, 1 container,420,25,25,23
Chicken Nuggets,Mcdonalds (Usa), 5.6 oz,460,27,29,24
20er Chicken Mc Nuggets,Mcdonalds, 20 Stück,894,60,47,56
Mcdonalds Nuggets 20er,20 Nuggets, 20 er Portion,855,55,45,57
4 Pc Chicken Nuggets,Mcdonalds, 4 PIECES,190,12,12,9
6pc Chicken Nuggets,Mcdonalds (Philippines), 6 pcs,320,0,20,13
Chicken Nuggets X6 Nz,Mcdonalds, 6 x nuggets,241,14,15,14
Chicken Mcnuggets - 6 Nuggets,Mcdonalds, 1 nugget,250,20,14,14
Chicken Nuggets (20 Piece),Mcdonalds, 10 nuggets,930,63,54,49
Juice,Mango juice, 1 glass,120,30,0,0
Mango Juice,Boing Mango Juice, 8 oz,100,24,0,0
My Mango Juice,Christian Mango Juice, 8 fl oz,150,36,0,0
Mango Juice,Mango Juice Home Made, 350 ml,215,51,1,2
Mango juice,Mango juice, 1 kop,150,37,0,0
Indian Mango Juice,India - Mango Juice, 100 g,70,17,0,1
Mango Juice,Naked, 8 oz,150,36,0,1
Juice,Orange  mango, 8 ounces,120,28,0,2
Mango Juice,Best, 8.3 oz,200,46,2,0
Mango Juice,Jumex, 335 mL,150,37,0,1
100% Juice Mango,Juicy Juice, 8 oz,120,29,0,0
Tropicana mango juice,mango juice, 250 ml,174,42,0,1
Mango Juice,Juice Burst, 100 ml,53,12,0,0
Mango Juice,Zesto, 250 mL,100,25,0,0
Mango Juice,Apple and Eve Mango Juice, 8 oz,120,30,0,0
Mango Juice,Maaza, 250 ml,128,32,0,0
Juice,Mango, 1 bottle,165,38,0,0
Mango juice,Miniso mango juice, 100 gram,54,12,0,0
Mango Juice,Rubicon, 100 ml,54,13,0,0
Mango juice,Libby's  Mango juice, 8 fl oz,150,37,0,0
Lassi,Lassi, 1 cup,280,30,5,5
sweet lassi,lassi, 1 piece,126,12,8,2
Mango Lassi,Mango Lassi, 1 Glass,150,17,3,14
Rose Lassi,Sassy Lassi, 6 oz,155,21,5,8
Amul Lassi,Amul Lassi, 250 ml,198,32,5,6
Mango Lassi,Dahlicious Lassi, 8 fl oz,160,19,7,7
Salted Lassi,Home Made Lassi, 0.5 cup,80,0,0,0
Lassi,Prabhat Meethi Lassi, 201 ml,76,16,2,2
lassi,MM kesar lassi, 1 cup,165,0,0,0
Lassi,Homemade, 250 ml,70,21,1,7
lassi,super lassi, 1 half litre,180,12,12,8
Lassi,Lakshmi, 8 ounces,154,17,4,8
lassi plain,sweet lassi drink, 1 cup,280,57,5,5
Mango Lassi,Janita's Homemade Mango Lassi, 1 glass,300,26,6,5
Lassi,Heritage, 100 ml,99,18,2,2
Punjab Sind Sweet Lassi,Sweet Lassi, 1 glass,158,25,5,2
Lassi,Jersey, 1 cup,200,0,0,0
Lassi,Biobio, 250 g,222,34,6,6
Lassi,Vijay Lassi, 1 ml,85,14,2,2
Lassi,lassi verka, 501 ml,180,12,11,8
Orange juice,,,45,10,0,1
Orange Juice (Simply Orange),Juice, 8 fl oz,110,26,0,2
Orange Juice,panera orange juice, 11.5 oz,160,37,0,3
Juice,Orange, 8 oz,110,26,1,2
Orange Juice,Malee Orange Juice, 200 ml,100,24,0,1
Orange Juice,Trop50 Orange Juice, 8 oz (240ml),50,13,0,1
Orange Juice,Black Label Orange Juice, 1 cup,85,18,1,2
Orange Juice,Stater Bros. orange juice, 8 oz,110,27,0,2
Orange Juice,Hy-vee Orange Juice, 8 fl oz,110,26,0,2
Orange Juice,Simply Orange Juice, 8 oz,110,26,0,0
Orange Juice,Flavorite Orange Juice, 8 oz,110,27,0,2
100ml Orange Juice,Orange Juice, 1 cup,47,11,0,1
Pint Orange Juice,Dean's Orange Juice, 1 Pint,220,54,0,4
Orange Juice,Tropicana Original Orange Juice, 250 ml,95,21,0,2
Orange Juice,Topicana Orange Juice 100ml, 1 Glass,112,26,0,2
Juice,Orange, 8 oz,110,26,0,0
Concentrated Orange Juice,Meijer Orange Juice, 8 oz.,100,29,0,1
Orange Juice,Black Label Orange Juice, 1 cup,85,18,1,2
Orange Juice,Simply Orange Orange Juice 11.5oz, 1 bottke,160,37,0,2
Coop Orange Juice,Coop Orange Juice, 1 cup,45,10,0,1
Pomegranate,Juice, 4 oz,75,20,0,0
Pomegranate Juice,Annar Juice, 1 cup,136,33,1,0
Pomegranate Juice,Pom, 236 ml,150,38,0,1
Pomegranate Juice,Saville Pomegranate Juice, 500 ml,200,50,0,0
Pomegranate Juice,Pomegreat, 100 ml,48,12,0,0
pomegranate juice,gem juice pomegranate, 8 oz,140,35,0,0
Pomegranate Juice,Pom, 236 ml,150,36,0,1
Pomegranate,Pomegranate juice, 80 ml,51,12,0,0
Pomegranate juice,100% pomegranate juice, 100 g,70,17,0,0
Pomegranate Juice,Tesco, 250 ml,100,23,0,0
Pomegranate Juice,Saba, 1 oz,15,4,0,0
Pomegranate Juice,Rubicon, 250 ml,119,0,0,0
Pomegranate Juice,Real, 100 ml,48,12,0,0
Pomegranate juice,Golchin pomegranate juice, 1 cups,155,39,0,1
Pomegranate Juice,Bickford's, 0.25 cup,40,10,0,0
Pomegranate Juice,Sipan Pomegranate Juice, 8.4 Fl oz.,130,32,0,1
Pomegranate Juice,Naturis pomegranate juice, 150 ml,30,6,0,1
Pomegranate Juice,Global Pomegranate, 1 cup (224g),150,37,0,0
Juice,Pfanner Pomegranate Juice, 100 ml,44,11,0,0
Pomegranate Juice,Homemade, 1 glass,140,0,0,0
Apple Juice,Juice, 8 oz,110,28,0,1
Apple Juice,Simply Apple Juice, 1 cup,120,30,0,0
Apple Juice Box,Allens Apple Juice, 1 carton,90,22,0,0
Apple Juice,Juice Burst (Apple), 100 ml,44,11,1,0
Apple Juice,Juicy Juice, 8 oz,110,28,0,0
Apple Juice,Tropicana 100% Apple Juice, 8 fl. oz.,110,27,0,1
Apple Juice,Juice tree apple, 100 ml,42,10,0,0
Apple Juice,Hansens Natural Apple Juice, 8 fl oz,120,28,0,0
Apple juice,Coop pressed apple juice, 150 ml,65,16,0,0
Apple Juice,Healthy Balance Apple Juice, 8 fl oz (240mL),20,4,0,0
Pine Apple Juice,Pine Apple Juice, 250 Gram,133,32,0,1
Apple Juice,Sunkist Apple Juice, 200 ml,90,23,0,0
Pressed apple juice,Pressed apple juice, 0.25 cup,30,8,0,0
Apple juice,delish 100% apple juice, 1 cup,110,28,0,0
apple juice,rani apple juice, 100 ml,197,13,0,1
Apple Juice,Juicy Juice, 8 oz,110,28,0,0
Apple Juice,Mccain Apple Juice (Canada), 200 mL,90,23,0,0
Apple Juice,Apple & Eve, 8 fl oz,110,26,0,1
Apple Juice,Earthfare Apple Juice, 8 oz,120,30,0,0
Apple Juice,Juice Tree, 330 ml,143,35,0,0
Grape Juice,Tropicana 100% Grape Juice, 12 fl oz,240,60,0,1
Grape Juice,Kedem - 100% Grape Juice, 8 fl oz.,150,37,0,0
Korean Grape Juice,Grape Juice, 240 ml,133,0,0,0
Grape Juice,Tropicana 100% Grape Juice, 12 fl oz,240,60,0,1
Grape Juice,Juicy Juice, 8 fl oz,120,29,0,0
grape juice,Muscadine Grape Juice, 4 fl oz,60,15,0,0
Grape Juice,Grape juice, 90 ml,40,10,0,0
Juice,Welch's Grape Juice, 8 oz,140,38,0,1
Cran Grape Juice,,,120,31,0,0
Grape Juice,Ardmore Farms 100% Juice - Grape, 4 fl oz,80,18,0,1
Grape juice,100% grape juice, 8 oz,160,40,0,0
Grape juice,Naturis Grape Juice, 150 ml,107,24,1,1
Grape Juice,Fresh**, 1 Cup,96,23,0,1
Grape Juice,Suncup, 4 fl oz,80,19,0,0
Grape Juice,Kedem Blush Grape Juice, 240 ml (8 oz),130,34,0,0
Grape Juice,V8 Fusion Grape, 6 oz,60,0,0,0
Grape Juice,Berri, 200 ml,114,28,0,0
Grape juice,Texas  Squeeze Grape juice, 8 ounces,160,40,0,1
Grape Juice ,HEB Organics 100% Grape Juice, 8 oz.,110,40,0,0
Grape Juice,Holiday Pantry Grape Juice, 16 fluid oz,290,80,0,2
Juice,Pineapple, 200 ml,100,24,0,1
Juice,Pineapple Juice, 12 oz,172,47,1,1
Pineapple Juice,Tang Pineapple Juice 800mg, 1 glass,60,15,0,0
100% Pineapple Juice,Dimes Pineapple Juice, 3 cups,57,13,0,0
"Juice, Pineapple (Net)","Juice, Pineapple, Trader Joe's"," Pineapple, Trader Joe's, 8.45 fl oz",145,34,0,1
Pineapple Juice,Pineapple Juice, 240 ml,120,29,0,0
Pineapple Juice,Just Juice, 200 ml,75,18,0,1
Juice,Pineapple, 0.75 cup,150,35,0,3
Pineapple Juice,Fresh Juice, 1 cup,25,0,0,0
Pineapple Juice,Langers, 8 oz,130,33,0,0
Pineapple Juice,Food Lion Premium Pineapple Juice, 8 fl oz,130,33,0,0
Juice,Morrisons Pineapple Juice, 100 ml,47,11,0,1
Pineapple Juice,Sainsbury's, 100 ml,50,11,1,1
Pineapple juice,Dove premium pineapple juice, 1 can,100,23,0,1
Pineapple Juice,Langers, 8 oz,130,33,0,0
Pineapple Juice,Oasis, 250 ml,120,29,0,1
Pineapple Juice,Tropicana, 100 ml,42,10,0,1
Pineapple Juice,Asda, 200 ml,105,25,0,0
Pineapple Juice,Berri, 200 ml,83,20,1,1
Pineapple Juice,Lakewood, 100 ml,57,11,0,0
Kiwi Juice,Fresh, 1 ounce,17,0,0,0
Kiwi lemon juice ,Ceasar Juice, 100 ml,52,13,0,0
Kiwi juice,Starbucks, 100 ml,61,10,2,2
Juice,Dole - 100% Juice - Strawberry Kiwi, 8 fl oz,120,29,0,1
Juice,Blackberry-kiwi, 16 oz,177,57,1,3
Kiwi Fruit Juice,Kiwifruit, 350 ml,53,4,0,0
Kiwi Strawberry,Juicy Juice 100% Juice, 8 oz,120,29,0,0
Kiwi Juice,Zamba, 250 ml,100,0,0,2
"Juice (Yellow, Kiwi)",Dutch Juice, 100 ml,42,9,1,1
Fresh Kiwi Juice,Generic, 100 g,61,15,0,1
Cranberry & Kiwi Juice,Ceres, 250 mL,120,30,0,0
Kiwi & Lime Juice,Nada, 100 ml,55,14,0,0
Kiwi Strawberry Juice,Squeez'r, 8 fl oz.,110,27,0,0
Kiwi Strawberry Juice Box,Juicy Juice, 1 box (200 mL),100,24,0,0
Kiwi Strawberry,Juicy Juice, 1 box,100,24,0,0
Strawberry Kiwi,Welch's Juice, 10 oz,190,46,0,0
Starfruit Kiwi Juice,Welch's, 8 FL.OZ (240mL),140,35,0,0
Strawberry/Kiwi Juice,Welch, 1 BOTTLE,140,36,0,0
Juice,"Kale, Ap, kiwi"," Ap, kiwi, 1 Bottle",79,15,1,1
Strawberry - Kiwi,Jungle Juice, 8 fl. oz (240mL),120,33,0,0
Watermelon juice,Watermelon juice, 200 ml,67,16,0,0
Watermelon Juice,Canteen Fresh Watermelon Juice, 350 ml,116,27,1,0
Watermelon Juice,Watermelon Juice ( Almarai Co. ), 100 ml,55,14,0,0
Watermelon Juice,Tsamma   Juice, 8 fl oz,80,20,0,2
Watermelon Juice,Homemade, 1 cup,76,18,0,1
Watermelon Juice,My, 0.5 cup,71,17,0,1
Juice,Fresh Watermelon, 100 ml.,33,8,0,1
Watermelon Juice,Welch's, 10 oz.,160,39,0,0
Watermelon Juice,Tropicana, 1 cup,100,24,0,0
Watermelon Juice,Rubicon, 100 ml,43,10,0,0
Watermelon Juice,Wtrmlnwtr, 8 oz,60,15,0,1
watermelon juice,arizona, 1 cup,100,25,0,0
Water Melon Juice,Watermelon Juice, 350 ml,117,8,0,0
juice,watermelon juice, 4 cups,100,22,0,2
Watermelon Juice,Liquiteria, 16 ounces,150,0,0,0
juice,tsamma watermelon, 1 bottle,90,19,0,3
Watermelon Juice,Tsamma, 12 fl oz,90,28,0,3
Watermelon Juice,Everfresh Juice Co., 8 oz,120,30,0,0
Watermelon Juice,Evolution, 8 fluid oz.,80,20,0,1
Fresh,Watermelon Juice, 2 cups,340,82,1,0
Lemonade,Lemonade, 284 mls,62,16,0,0
Lemonade,Chickfila lemonade, 1 cup,230,61,0,0
Lemonade,Denny's Lemonade, 16 oz,150,35,0,0
Lemonade,Hubert's Lemonade, 8 oz.,70,18,0,0
Lemonade,Jake's Lemonade, 8 fl oz,150,39,0,0
Lemonade,Simply Lemonade, 8 fl oz,25,7,0,0
Strawberry Lemonade,Hubert's Lemonade, 8 oz,60,15,0,0
Pink Lemonade,Simply Lemonade, 8 fl oz,110,28,0,0
Mango Lemonade,Simply  lemonade, 8 ounces,110,28,0,0
Original Lemonade,Hubert's Lemonade, 8 fl oz,70,18,0,0
Raspberry Lemonade,Hubert's Lemonade, 8 fl oz,60,16,0,0
Lemonade,Herbert's Lemonade, 8 fl oz,60,17,0,0
Blackberry Lemonade,Hubert's Lemonade, 8 oz,60,16,0,0
Lemonade,Panera Bread Lemonade, 1 cup,160,41,0,0
Lemonade,Denny's Lemonade, 16 oz,150,35,0,0
Lemonade,Dels Frozen Lemonade, 8 FL oz,110,28,0,0
Lemonade,Calypso - Strawberry Lemonade, 8 fl oz (237ml),120,29,0,0
Lemonade,Lemony Lemonade, 250 ml,85,20,0,0
lemonade,wawa lemonade, 16 FL OZ,240,60,0,0
Lemonade,Pret Strawberry Lemonade, 8 ounces,110,30,0,0
Sugarcane Juice,Indian Sugarcane, 100 ml(Kcal),89,91,0,0
Sugarcane Juice,Drinks, 100 ml,269,273,0,0
Pure Sugarcane Juice,Sugarcane Island Juice Company, 1 container (16.00 oz),180,43,0,1
Singapore - Fresh Sugarcane Juice - 100ml,Sugarcane, 100 ml,36,0,0,0
Sugarcane Juice,Goya, 200 ml,115,52,0,0
Sugarcane juice,Raw, 250 ml,80,21,0,0
Sugarcane juice with lime,Sugarcane Island, 12 oz,140,34,0,0
Sugarcane Juice Drink,Vita, 250 mL,80,21,0,0
Sugarcane Juice,Taisun, 100 ml,53,13,0,0
sugarcane juice,maiyas, 200 ml,78,18,0,0
Passion Fruit,Sugarcane Island Sugarcane Juice, 8 oz,140,43,0,0
sugarcane juice,vita, 1 carton,34,8,0,0
Sugarcane juice,Raimaijon, 1000 ml,500,122,0,0
Sugarcane Juice/Jugo,Goya, 1 can,200,52,0,0
sugarcane Juice,smoodies, 100 ml,45,11,0,0
Sugarcane Juice,Hans, 290 ml,150,37,0,0
Juice Sugarcane,Filipino Fnri, 100 g,50,12,0,0
Sugarcane juice,Rio hondo, 8 ounces,160,42,0,0
Sugarcane juice,Raw. Pressery, 1 litre,320,84,0,0
Sugarcane. Juice,Raw Presery, 125 ml,40,11,0,0
Chikoo Juice,Chikoo Juice (Made by Kiran, 200 ML,237,38,8,6
Chikoo (Sapota) Fruit,Chikoo (Sapota, 1 Fruit,73,16,1,1
Chikoo (Sapodilla),Wn, 1 Sapodilla,141,34,2,1
Chikoo (Sapodilla),Dfdf, 100 g,90,20,1,0
 Chikoo (Sapota),Swad, 100 gm,117,27,1,1
Chikoo,Deep, 85 gram,85,18,1,1
Chikoo (Sapota),Swad, 121 g,160,39,0,0
Chikoo Milk Shake,Barot, 2 cup,300,46,7,9
Chikoo Sapotta Slices,Deep, 0.5 cup,80,18,1,1
Sapota,Chikoo, 1 cup,110,26,0,3
Sapodilla (Chikoo) Milkshake,Generic, 1 glass,129,17,4,6
Icecream (Chikoo),Natural, 100 ml,204,19,11,6
"Ciku, Chikoo, Sapodilla",Fruit, 100 g,83,20,1,0
Chikoo Pulp,Swad, 1 cup,160,39,0,0
Chikoo,Natural Ice Creams, 100 g,204,18,12,5
Chikoo Ice Cream,Reena's, 4 oz,130,14,8,2
Chikoo [N],Deep, 0.5 cup (85 g),80,18,1,1
chikoo powder ,Exotic, 10 grams,38,8,0,1
